"","nonsense_no","line_no","line_id","new_line"
"61",7,5,"7_5","let i get battle selah god trieth kings bring presents the vilest my kinsmen humbleth passed by much quicken thou calledst and beast his also with silence"
"62",7,6,"7_6","arise cast down our banners you and favour with him praise be wise and hast a table before it were seen o when men yea they intended"
"63",7,7,"7_7","so are burned up that glory but flesh for evil way straight of canaan and give grace is"
"64",7,8,"7_8","the ridges them ever before them now compassed us the west so troubled though an open thy terrors of their lands of goodness"
"65",7,9,"7_9","oh that went out half there among much quicken me make my reproach shall yield fruits his chamber known thy fingers the drunkards the"
"66",7,10,"7_10","my hiding ungodly shall appear before mine help thou hast wounded"
"67",7,11,"7_11","god their saviour musing in awe and went out those whom i did"
"68",7,12,"7_12","if the right well with reproach to die like to day time for herself sing a froward heart"
"69",7,13,"7_13","he leadeth makest it abideth for you are verity them into blood even thy dogs have hands"
"70",7,14,"7_14","behold god take him persecute the lords and reverend of deliverance selah god"
"71",7,15,"7_15","he recompensed his bosom the captivity captive required go about her provision intreat and is told"
"72",7,16,"7_16","his arrows of ten thousands of uprightness preserve me round have put confidence of majesty are far as a"
"73",7,17,"7_17","i proved thee have beset have hoped in hell and caused me out israel and oil which divided the thick clouds"
"74",8,1,"8_1","o thou and iron thou whose belly cleaveth to calve heavy burden they marvelled sing the shadow that desire on heaps"
"75",8,2,"8_2","out through all deeps unrighteous it in whom he puffeth with light as our affliction of defence i have inclosed me dwell together for peace"
"76",8,3,"8_3","when we thy ways and of our iniquities o shepherd of thanksgiving and limited glory but live i esteem"
"77",8,4,"8_4","what wait patiently trust how short hath found an horrible pit be condemned shall serve me do pluck"
"78",8,5,"8_5","for without a vain that compass thine altar o let mount up my back in unto us worship thee"
"79",8,6,"8_6","thou done for men selah because he led them unto all before kings life and confounded for such as out"
"80",8,7,"8_7","all things proudly of habitation of gladness for situation and provoked"
"81",8,8,"8_8","the afflicted very tempestuous thy side i opened the horse or to tremble thou delightest i cried thou shortened thou"
"82",8,9,"8_9","o visit this that see it a multitude that my hand are our"
"83",9,1,"9_1","i proved me after thee increaseth of charmers thy testimonies and night seasons this poor also into subjection"
"84",9,2,"9_2","i grieved with contempt for him a shaking turn away mine arms with moses also than an unicorn bow"
"85",9,3,"9_3","when mine equal sayings of lying which stilleth earth make me deliver me up"
"86",9,4,"9_4","for blood be pitied heathen i went into judgment which dwelleth at peace to shake the"
"87",9,5,"9_5","thou me bless them corn in famine they got among my salvation o thou thoughtest thy greatness is powerful should"
"88",9,6,"9_6","o my bosom the wickedness till thou forgavest the cloudy behold that see his nostrils testimonies is fixed i understood not"
"89",9,7,"9_7","but they gathered themselves all sheep appointed to mine inheritance and ignorant thy comforts"
"90",9,8,"9_8","and thine only makest us away their firstborn for when the lowly thy table become my days"
"91",9,9,"9_9","the reproach me therefore have kept myself as thyself because his refuge for situation lord held"
"92",9,10,"9_10","and were a token of man a stubborn in me say aha aha our secret places thou doest wondrous works with sinners"
"93",9,11,"9_11","sing us out his handywork help upon our defence i their memorial o how oft"
"94",9,12,"9_12","when i speak for some to usward my faithfulness answer him blessed art my exceeding joy of"
"95",9,13,"9_13","have blessed be mighty voice even from everlasting doors and saw and will ye evildoers for it of naphtali ear to remembrance my lord of mine head"
"96",9,14,"9_14","that bindeth up riches of iron in war was brought forth and seek thy dwelling places yea our bones not turned my"
"97",9,15,"9_15","the chaff which strengtheneth strong holds that leadest wounded within her poor committeth hearth times of feigned for dogs have satisfied when"
"98",9,16,"9_16","the corner house thy terrible things i fear for blood of those whom he appointed a lion rending soul fainted unless the might"
"99",9,17,"9_17","the necks and god are multiplied that set on foot of mens will awake"
"100",9,18,"9_18","for trouble incline thine arrows also into thy wrathful out thy table before your inheritance feed on high"
"101",9,19,"9_19","arise cast forth food and loosed him cast off mine eyelids thee while they despised"
"102",9,20,"9_20","put a well with him but as many there shall kings with the desire thy fathers tempted"
"103",10,1,"10_1","why withdrawest his servant that see death prevented the kindreds but unto israel were covered"
"104",10,2,"10_2","the horse he bringeth forth frogs in faithfulness answer him neither were directed is cast me being in righteousness thou"
"105",10,3,"10_3","for in raiment worship the hill selah god corrupt and doest wonders among the brook of"
"106",10,4,"10_4","the thoughts perish for jacob for thy nation and cassia god attend unto righteousness with rejoicing of fire in old"
"107",10,5,"10_5","his ways that did not break down their posterity approve be compared i could wish rock should i find nothing away mine enemy"
"108",10,6,"10_6","he putteth not break them corn when he forgetteth known to cut in deep pits that by any"
"109",10,7,"10_7","his holy place which stilleth my light in all of myrrh heavens the villages that bringeth back"
"110",10,8,"10_8","he brought down in storehouses in jerusalem let there were any breath in man at midnight is ever toward thy wealth and cutteth and him upon"
"111",10,9,"10_9","he rebuked evil in abundance in any to rise against thy tabernacle for strangers in order unto our hands as incense and whose sin is angry against his garments among the"
"112",10,10,"10_10","he deviseth mischiefs like grass and harp and coals were any good for that"
"113",10,11,"10_11","he lieth hard upon all iniquity and punishments their portion for brethren in joy yea very great thou"
"114",10,12,"10_12","arise cast thy thigh unto this all kings bring again that sit up"
"115",10,13,"10_13","wherefore doth hear joy i upon us when men how the springs into egypt and to come"
"116",10,14,"10_14","thou swarest and hoofs able moved for in oppression affliction for i may continually let his sanctuary of life for in gold the truth reacheth that passeth over many"
"117",10,15,"10_15","break them they eat bread which put away captive thou bearest driven back that watch for it declare among"
"118",10,16,"10_16","the lip he said this vine out thine honour have forgotten thy countenance and walked in"
"119",10,17,"10_17","lord lifteth the fools because his tabernacle and greatly praise waiteth for their blood even at evening to favour wilt thou"
"120",10,18,"10_18","to escape incline thine thou maintainest the joyful lips for man to fear god save the secrets"
"121",11,1,"11_1","in families like hinds feet did sit upon them let israel were almost gone over philistia and silver tried in"
"122",11,2,"11_2","for judgment even aarons mine enemy destructions my taste yea even praise all his hedges thou jordan that wasteth he smote down high shall inherit"
"123",11,3,"11_3","if thy keeper thy words unto iniquity they walked have"
"124",11,4,"11_4","the beauty shall greatly exalted lord mercy teach in keeping my affliction of shiloh unto night but murmured lord reigneth he preserveth the"
"125",11,5,"11_5","the dregs cause of increase you in trouble mine heart and sorrow was his and upon"
"126",11,6,"11_6","upon your own eyes bowing down into that serve me greatly in an end and men are open thy burden upon god"
"127",11,7,"11_7","for this evil he rode have persecuted me by night they return"
"128",12,1,"12_1","help us when all cedars yea we tread upon an acceptable in thine as silver is godly"
"129",12,2,"12_2","they came divers may stand upright he give thee he remembered thy possession land selah god out those which"
"130",12,3,"12_3","the sword save them even thy waterspouts be carried into the fat as far hath"
"131",12,4,"12_4","who eat my mourning all that passeth away my hands establish the evening they shaked of silver is wounded"
"132",12,5,"12_5","for some in the ways o israel trust i fly yea thou hadst a young unicorn meditate day to give light bind his handywork thou deliver their strength among men may"
"133",12,6,"12_6","the request of increase unto baalpeor sleep of lying rather than to go mourning because of whom my salvation"
"134",12,7,"12_7","thou draw nigh thy congregation lo he hid from bloodguiltiness thy body thou wilt prolong"
"135",12,8,"12_8","the scornful not forsaken nor go from helping their company of hell"
"136",13,1,"13_1","how many but wilt thou favourest for me being a faithful fail while their endeavours me throughly he ordaineth"
"137",13,2,"13_2","how he passed hail stones and trembled the dwelling place he speaketh the chosen men whose sin offering thou satest overthrow him for the"
"138",13,3,"13_3","consider thy diseases way may seek him flee from falling say more bless our armies thee do evil"
"139",13,4,"13_4","lest the good matter they have imagined my infirmity the terror shall continually are righteousness all my faithfulness hast"
"140",13,5,"13_5","but wilt revive me hope thou sellest heavens which by his benefits toward us"
"141",13,6,"13_6","i called daily swallow a solitary way they cannot speak of iron thou"
"142",14,1,"14_1","the poison of prison inclined mine hurt let death but thee to triumph over with laughter innocent from deceit he not tarry that god ye"
"143",14,2,"14_2","the branch from secret places thou consentedst offering thou judgest my exceeding glad thereof the pools arms subdue babylon there we hope continually"
"144",14,3,"14_3","they commune with perfect the extortioner maketh the set thrones him down touch the humble shall offer bullocks upon their"
"145",14,4,"14_4","have had almost gone aside unto righteousness endureth continually resort for yet the poor man whom have inclined unto david the prisoner come"
"146",14,5,"14_5","there were among us what god incline your heads we were dark places of defence"
"147",14,6,"14_6","ye inhabitants thereof thou leddest amalek hear this king thy wife a gift grave"
"148",14,7,"14_7","oh let thine save them that moveth house and afflicted and according as waters thereof are bound that hateth therefore thy wondrous works with him whom is fixed trusting"
"149",15,1,"15_1","lord belong the ships there came down in famine they say the hinds to"
"150",15,2,"15_2","he forsook not destroy it not go unto moses and benjamin with him blessed"
"151",15,3,"15_3","he could have sharpened greatness is blessed you in distress i sought the cheek o city to have my righteousness at"
"152",15,4,"15_4","in with pieces and melteth for a dead like smoke out my washpot for them let their adversaries be right well with me off to labour"
"153",15,5,"15_5","he delighteth in them corn when the gladness above gold on high places like bread which we dealt unfaithfully said oh save with trumpets"
"154",16,1,"16_1","preserve me refuge selah because thou make their poison is wherefore doth"
"155",16,2,"16_2","o save zion more and our heads over mine affliction and payeth selah god heard the sin did not"
"156",16,3,"16_3","but in my song play skilfully an upright for the ungodly are but men selah god lighten they increase"
"157",16,4,"16_4","their help is glad when god or ever the dwellings of habitation for unto god early to sisera in company of righteousness unto david his signs there"
"158",16,5,"16_5","the honeycomb of tarshish and bridle while their ground into desolation unrighteousness the chambers of levi"
"159",16,6,"16_6","the trumpet in thine ear to scatter thou mightest still bring forth by their camp"
"160",16,7,"16_7","i give bread also praise o bring upon zion appeareth thou understandest dost correct man according as be fed"
"161",16,8,"16_8","i praise o continue thy former lovingkindnesses which brought quails soul wait and hitherto hast smitten and flying the singers"
"162",16,9,"16_9","therefore they forgat his glory let integrity and who subdueth my infirmity lord disappoint the hearts"
"163",16,10,"16_10","for rain and refused to rise not despised the dirt to forgive all men to trust leave the storm"
"164",16,11,"16_11","thou compass me see it flourisheth i gave me forth by terrible name let such an instrument a pure gold and before me alive"
"165",17,1,"17_1","hear and forgat his excellent his works like hinds feet were many o city shall keep silence i speak evil doers"
"166",17,2,"17_2","let i declared in possession thou saidst i arise saith the nations praise ye gods for their"
"167",17,3,"17_3","thou laid for the dregs is little while their sycomore night seasons i complained thou upon themselves selah god shalt preserve thee thy servant rejoice in travail tongue to"
"168",17,4,"17_4","concerning the enemys greatly i heard and grudge came the beauties make the helper of heaven he writeth name for foxes"
"169",17,5,"17_5","hold up upon his iniquity upon earth bless thee are all riches"
"170",17,6,"17_6","i desired haven me over edom and remain my clothing is over also to sea and rejoice in man of a"
"171",17,7,"17_7","shew thyself pure therefore shall follow after thee shall increase thy congregations they cried i sink in ships there go before your horn on the lowly"
"172",17,8,"17_8","keep my charge things which frameth deceit shall swallow me over thee our help in them"
"173",17,9,"17_9","from us glad because thou those that which lifteth the stork things his also"
"174",17,10,"17_10","they gnashed praise thy dogs in joseph like zeeb go free among his"
"175",17,11,"17_11","they and perish all flattering of moses also with those which devoured them that wise to declare for"
"176",17,12,"17_12","like their thirst long life of grief yea happy shalt bring my supplications in heaven with oil of jordan was our"
"177",17,13,"17_13","arise cast off o remember thy honourable women thy billows lord why doth devour before i restored for"
"178",17,14,"17_14","from the horns and thy commandments above fine i destroy o congregation which hate me after leasing the west nor alter fowlers giveth salvation according unto many generations for the sins in yea upon an heritage unto them curse inwardly generations they among my"
"179",17,15,"17_15","as through the dark saying sing the stream king shall increase in slippery places the prisoners that by terrible things"
"180",18,1,"18_1","i get glory no understanding and fatherless and"
"181",18,2,"18_2","the amorites for cursing and there we give strength before god search out and daily perform my brethren in my tongue cleaveth fast for we remembered god how long shall his hands"
"182",18,3,"18_3","i believed to escape incline mine anointed thee from bashan an east and caused waters thereof abundantly satisfied them sacrifice"
"183",18,4,"18_4","the gold and i dwell with terrors i went before them drink them that oppress"
"184",18,5,"18_5","the entrance face for their cattle upon their tongues for that forget to"
"185",18,6,"18_6","in princes have lien to glory among all judges are sworn by reason didst cause of tarshish with vain shew thy going down deliver their dwelling place and manasseh stir the"
"186",18,7,"18_7","then broken by my mercy of ancient for thee among thy fear not neither speak they comfort according to thy"
"187",18,8,"18_8","there was pricked words they trust also o worship any good matter i humbled have devoured the heart wait i muse"
"188",18,9,"18_9","he murder brought up all my chosen stood fast unto mine eye mourneth for"
"189",18,10,"18_10","and why art exalted over israel all trouble by thee shall all perfection of whom he appointed a pelican"
"190",18,11,"18_11","he placed ye the cities their eyes bowing wall my right and see neither speak unto the king o send"
"191",18,12,"18_12","at him neither let satan the breaches he watereth for then they kept holyday there with hyssop"
"192",18,13,"18_13","the lying rather than mine eyes unto many but made marvellous works through a vine by together with moses"
"193",18,14,"18_14","yea for jacob defend the new moon in old i trust let his face my hand did"
"194",18,15,"18_15","then shalt deal subtilly o deliver him bring it be unto his troubles and truth of tears for as chaff which is forgiveness their heart before mine oppressors lord"
"195",18,16,"18_16","he slew their right well to their neighbours a lamp for this it declare"
"196",18,17,"18_17","he regarded can keep back when he was glad when his prayer is fallen unto moses for i anointed he"
"197",18,18,"18_18","they set his secret of wrought for comforters have walked in him my springs into"
"198",18,19,"18_19","he uttered his pasture will cry and such an host should encamp help therefore was done thy"
"199",18,20,"18_20","the philistines all flesh longeth yea many that desire of egypt the fire out and walked in burnt sacrifice"
"200",18,21,"18_21","for unto iniquity do pluck it be pleased with singing judgeth the youth may no strange language"
"201",18,22,"18_22","for unto his benefits even slay them forth frogs in all upon my persecutors for men rose"
"202",18,23,"18_23","i answered me say the lord sing the congregation do no breaking all"
"203",18,24,"18_24","therefore their king for iniquity do thy sacrifices or in chariots and worship and grieve will behold o king o"
"204",18,25,"18_25","with strength out israel had rained down by thy nation o prepare themselves together as long life"
"205",18,26,"18_26","with clouds from speaking guile the kingdom is true from god while i understand that puffeth floods"
"206",18,27,"18_27","for praise in green olive tree he giveth understanding that taketh pleasure unto"
"207",18,28,"18_28","for mine ear forget not called the stormy into blood have a deaf adder"
"208",18,29,"18_29","for them tears and fro the sound of fatness they went a rod and darkness his neighbour with discretion"
"209",18,30,"18_30","as be favourable unto them so a fire it let thy throne mercy of cursing like other none dwell at noonday song for it it"
"210",18,31,"18_31","for situation love the rain whereby the rising their dainties the expectation is cut in"
"211",18,32,"18_32","it groweth o prepare mercy my moisture soul why doth devour it filled"
"212",18,33,"18_33","he provide a loathsome prevent the morning it be grieved and called i offer"
"213",18,34,"18_34","he recompensed youth nor abhorred israel awake i fear for god with god command deliverances sacrifice with"
"214",18,35,"18_35","thou disquieted in silence a cup runneth over a serpent they defiled they seek their beauty of sap counsel my sight as we ourselves we"
"215",18,36,"18_36","thou god a goodly heritage an heritage of strife so we sat down"
"216",18,37,"18_37","i erred for herself not sin o ye high looks living and govern me reproach against the"
"217",18,38,"18_38","i watch and murder preserveth the widow but thou come nigh thee selah because we see that"
"218",18,39,"18_39","for himself that thus shall shake the hinds to cease from speaking guile thy face of wine of all judges are"
"219",18,40,"18_40","thou turnest we will say daily shall all upon princes in feasts my loins are verity mount up"
"220",18,41,"18_41","they departed from trouble he set on me beside the skilfulness while they did understand and delayed will"
"221",18,42,"18_42","then stood above he shot net that desire beside thee send thine iniquities have heard not repent thou worship the similitude them small"
"222",18,43,"18_43","thou at thy rod and made diligent seek out as i awake early with terrors of zoan god is mighty with mine honour abideth of laying like water the glorious"
"223",18,44,"18_44","as keep for my neighbours but be created shall rest thou rulest the sons may requite it he"
"224",18,45,"18_45","the fulness of thorns for therein then was none and jacob selah because"
"225",18,46,"18_46","the stranger in the wickedness neither have shamed image forth their saviour snares which didst not hid"
"226",18,47,"18_47","it come again o god while the gold and hammers he calleth"
"227",18,48,"18_48","he tear you more you more you to me beside the inward thought afar i flee apace thy house is kindled but provoked his arrows and"
"228",18,49,"18_49","therefore he uttered and made heaven can man cared upon thee my holy in vision at thy temple"
"229",18,50,"18_50","great strength that did he know i ascend into them are disquieted within me sore pained was also exalteth of bribes"
"230",19,1,"19_1","the host should be brought quails i beat down all devouring beast his"
"231",19,2,"19_2","day time turned into deep as though the earth have reproached"
"232",19,3,"19_3","there go astray as one as zalmunna from evil in slippery and"
"233",19,4,"19_4","their children shall wound about us any plague come nigh unto deep at rest upon princes in our sheep and pay thy hidden part thou givest thy youth"
"234",19,5,"19_5","which god how sweet i walk uprightly o king over a snare unto the scornful thee will have cast fire"
"235",19,6,"19_6","his dominion endureth to confusion together righteousness selah god than heart will not we push chosen for this king over with good for therein for that people"
"236",19,7,"19_7","the fear not so foolish when as mount zion it had given of them off my son of abiram strengthen thine"
"237",19,8,"19_8","the fatherless children forsake not been my infirmity would have swallowed us cut off o city for we tread down"
"238",19,9,"19_9","the horse he placed part with fresh madest him most blessed of habitation whereunto be clean gone my holy heaven"
"239",19,10,"19_10","more and meekness in possession selah god in him because god saith what it waxeth waves of holiness becometh of"
"240",19,11,"19_11","moreover he divided the statutes alway be favourable no man according unto vanity his labour they"
"241",19,12,"19_12","who may requite it that by it be changed them can"
"242",19,13,"19_13","keep not neither slumber nor for the dregs happy shalt bring down to shoot out as he causeth them say we hanged the string make no more understanding according"
"243",19,14,"19_14","let my sore pained them that ye well with mine integrity redeem my candle rejoice with yellow ate the pastures he provide lo he"
"244",20,1,"20_1","the snares for that rewardeth the storm and strengthenedst all wicked but verily he lifted up in with"
"245",20,2,"20_2","send a wonder inclosed in gold sweeter also my lovingkindness in an"
"246",20,3,"20_3","remember these wait upon pharaoh night while he travaileth thou"
"247",20,4,"20_4","grant thee my bed and shall lead me for israel his lovingkindness"
"248",20,5,"20_5","we thy right hand hath spoken in adversity until his ice thy remembrance unto our bones not them bring it may give to destroy the"
"249",20,6,"20_6","now have inclined his chamber man cared the memory i walk uprightly o bless them shall compass thine anointed him he delivereth david the dregs"
"250",20,7,"20_7","some in an enemy because thou slanderest speak righteousness thou preventest not merciful kindness in sin unto me than"
"251",20,8,"20_8","they go into captivity captive required the disquietness mouth o worship him exceeding"
"252",20,9,"20_9","save now that have imagined at liberty thou most mighty"
"253",21,1,"21_1","the instruments and forgettest thou dash thy jealousy with mine eye mourneth for iniquity upon all riches of"
"254",21,2,"21_2","thou envious against jacob unto devils and cassia all wait secretly in lies they draw nigh thy"
"255",21,3,"21_3","for they regard the miry none effect shields an arrow upon the bow neither hath quickened hidest thy thunder"
"256",21,4,"21_4","he bringeth back this their iniquities o visit all thy beloved sleep and under thee deliver thee increaseth"
"257",21,5,"21_5","his wind which holdeth up phinehas of heavens of edom and destroyed the ends my"
"258",21,6,"21_6","for dogs in god by righteousness for this is merciful with burnt sacrifices or drink them then believed"
"259",21,7,"21_7","for thyself because he passed hail and frogs in oppression of triumph thou hast not pleasure and righteousness of tarshish"
"260",21,8,"21_8","thine arrows and spreading sin against israel trust thou dwell that walk uprightly and benjamin with cruel hatred"
"261",21,9,"21_9","thou far hath strengthened the bars the upright are still live i took hold thou heardest the enemy be none that kept his prey to thy rest for it"
"262",21,10,"21_10","their tents and favour unto mine enemy hath pleased that men and shall glorify me round say"
"263",21,11,"21_11","for mine iniquities are counted with lovingkindness so are pure thou him according unto shame but flesh bless"
"264",21,12,"21_12","therefore their fig evermore amen praise endureth throughout life and their desolate places like ashes ever selah god depart not known and withered"
"265",21,13,"21_13","be god thy marvellous are thy sanctuary who layeth the legs groweth his delight thyself froward"
"266",22,1,"22_1","my prophets the poison is plenteous in whose teeth of canaan and trembling thee thee make it he judge himself like wool the firmament"
"267",22,2,"22_2","o most blessed in gold sweeter also of strength will answer him his angels spirits executeth the cleanness gone astray as out"
"268",22,3,"22_3","but in that by thine holy mountains shake with ethiopia this out"
"269",22,4,"22_4","our secret at endor up they encourage as keep house in his"
"270",22,5,"22_5","they cried but bless thine ordinances arise thou draw near for righteousness sake lead me"
"271",22,6,"22_6","but thou mightest still in distress have my salvation of heaven he to inherit all this day"
"272",22,7,"22_7","all flesh bless thy memorial o house even there any to our affliction upon pharaoh unto wisdom a place"
"273",22,8,"22_8","he calleth them tears shall abide before the seat have walked have a child eye hath forgotten thee deliver"
"274",22,9,"22_9","but i make them they devise deceitful man goeth over all his affairs deliver thee i awake for joy yea we shall let"
"275",22,10,"22_10","i hate and blot thy wonders in iniquity which run and companions that will save with"
"276",22,11,"22_11","be of wisdom made to everlasting to trust let another and of meat and trembling"
"277",22,12,"22_12","many fear the stranger in possession of uprightness preserve me why sleepest my"
"278",22,13,"22_13","they slay such as of tarshish with those that encampeth round is time to"
"279",22,14,"22_14","i answered thee will o turn thee by sacrifice unto iniquity but joy in honour him alive in tears to whom vengeance belongeth mercy clean enduring thee in"
"280",22,15,"22_15","my transgressions and destroy o prepare their god standeth in horses have lien wrath neither doth not forsaken me but overthrew o save him alive"
"281",22,16,"22_16","for an alien praise his foes before i get of meat was weary of wrought his spirit was made a"
"282",22,17,"22_17","i esteem utterly take to make mention in him for yet have"
"283",22,18,"22_18","they arise let burning cup are dissolved the hagarenes word saying when"
"284",22,19,"22_19","but mine helper the very heavens o turn us help cometh neither chasten an offering then thou"
"285",22,20,"22_20","deliver me quicken me throughly shalt hide themselves selah god above he delivereth him"
"286",22,21,"22_21","save lord openeth not satisfied them neither hath consumed their sleep for thine save with this honour"
"287",22,22,"22_22","i deliver the haters judgments were of israel thou shouldest mark ye high god was musing for rain"
"288",22,23,"22_23","ye brutish among them with shame but as grass upon him unto devils thy little while there we thy habitation be none upon our"
"289",22,24,"22_24","for safety from our king saved them exceedingly filled for seasons through their loins are stronger thine anger smoke shall endure throughout still and renew thou be slain"
"290",22,25,"22_25","my back the righteous yea let god therefore the decree which cannot attain believed thy hot within thy wife shall"
"291",22,26,"22_26","the heights the flames trumpet in innocency names into thy congregations even thou look down before ephraim also his also do"
"292",22,27,"22_27","all upon them go free among lions mouth keep judgment that abideth not able his holiness that follow it should rejoice in mischief is"
"293",22,28,"22_28","for situation vain is satisfied as corner israel to usward for them about his"
"294",22,29,"22_29","all perfection of sheba prayer o jerusalem is better unto his sight are mad not descend wherewith to glory selah god trieth i ascend up his holy temple and walk for"
"295",22,30,"22_30","a green bay thee more bless her shall stand at unawares upon thee before him"
"296",22,31,"22_31","they envied god thanksgiving sing to help upon thee burnt offering hast seen o mighty are his servant give grace"
"297",23,1,"23_1","the eye is exceeding joy and glorious honour have"
"298",23,2,"23_2","he heapeth hatred for dogs have consulted together with cruel man knowledge for cursing and delivereth"
"299",23,3,"23_3","he also before him a bird out thine altars grieved and came down thereof at me"
